page,title,page_type,family,template_family,shared_styles,shared_theme_js,theme_toggle,shared_nav,tailwind,legacy_markup,triage_status,triage_basis,state_review_readiness
130Test1.html,Math 130 – Test 1 Study Guide,Course / Lab Manual / Long-form Instruction,math130 family,math130 review pages,yes,no,yes,yes,no,no,Yellow,Inline CSS increases template drift risk; Custom review template outside standard course shell,desktop-light required; desktop-dark not present; mobile-light required; mobile-dark not present; keyboard/focus evidence in source; hover evidence in source
130Test2.html,Math 130 – Test 2 Review (Spring 2026),Course / Lab Manual / Long-form Instruction,math130 family,math130 review pages,yes,no,yes,yes,no,no,Yellow,Inline CSS increases template drift risk; Instruction page contains form/input controls needing interaction review; Custom review template outside standard course shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
130Test3.html,Math 130 – Test 3 Review (Spring 2026),Course / Lab Manual / Long-form Instruction,math130 family,math130 review pages,yes,no,yes,yes,no,no,Yellow,Inline CSS increases template drift risk; Instruction page contains form/input controls needing interaction review; Custom review template outside standard course shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
130Test4.html,Math 130 – Final Week Review (Fall 2025 Alignment),Course / Lab Manual / Long-form Instruction,math130 family,math130 review pages,yes,no,yes,yes,no,no,Yellow,Inline CSS increases template drift risk; Custom review template outside standard course shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
404.html,Page Not Found - Prof. Volk's Office,Marketing / Editorial,shared-shell core,shared shell / editorial shell,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
CV.html,Andrew H. Volk - Professional CV,Profile / CV,shared-shell core,shared shell / editorial shell,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
Taskflow.html,Daily Task Flowchart,Interactive Tool / Review / App-like Utility,shared-shell tools,shared shell / tool page,yes,yes,yes,yes,no,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
Unit3Practice.html,Math 130 Unit 3 Practice Questions,Interactive Tool / Review / App-like Utility,shared-shell tools,shared shell / tool page,yes,yes,yes,yes,no,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
bookings.html,Book a Meeting with Professor Volk,Marketing / Editorial,shared-shell core,shared shell / editorial shell,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
chessboard.html,Chessboard Rice Growth,Interactive Tool / Review / App-like Utility,shared-shell tools,shared shell / tool page,yes,yes,yes,yes,yes,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/114-module1-summary.html,Module 1 Summary: Critical Thinking and Introductory Math Concepts,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/basic-statistical-measures.html,Simplified Statistics Infographic,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/constant-acceleration-lab-manual.html,Constant Acceleration Lab Manual | PHYS 103,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/data-sheet-for-electric-circuits.html,Data Sheet for Electric Circuits,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/density-lab-manual.html,Density Lab Manual | PHYS 103,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/electrical-circuits-lab-data-sheet.html,Electrical Circuits Lab Data Sheet,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,yes,yes,no,yes,Yellow,Legacy/Office-export markup likely bypasses current design system; Instruction page contains form/input controls needing interaction review,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/electrical-circuits-lab-manual.html,Electrical Circuits Lab Manual | PHYS 103,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,yes,yes,no,yes,Red,Inline CSS increases template drift risk; Legacy/Office-export markup likely bypasses current design system; Instruction page contains form/input controls needing interaction review,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/engi220.html,ENGI 220 Course Resources | Engineering Economy,Course / Lab Manual / Long-form Instruction,other courses,generic course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/final-exam-review-guide.html,Final Exam Review Guide,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,yes,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/hookes-law-lab-manual.html,Hooke's Law Lab Manual,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,no,no,no,no,Yellow,Missing shared navigation shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/knowledgegrowth.html,Math Quiz Prep: Growth Models,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,yes,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/lab6-krules.html,,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,no,no,no,no,no,yes,Red,No shared stylesheet; Inline CSS increases template drift risk; Legacy/Office-export markup likely bypasses current design system; Missing shared navigation shell,desktop-light required; desktop-dark not present; mobile-light required; mobile-dark not present; keyboard/focus evidence unclear; hover evidence unclear
courses/latent-heat-of-fusion-lab-manual.html,Latent Heat of Fusion Lab Manual,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,no,no,no,no,Yellow,Missing shared navigation shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math100.html,MATH 100 Course Resources | Fundamentals of Mathematics,Course / Lab Manual / Long-form Instruction,other courses,generic course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math105.html,MATH 105 Course Resources | Algebra for Non-STEM Majors,Course / Lab Manual / Long-form Instruction,other courses,generic course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math110.html,MATH 110 Course Resources | Intermediate Algebra,Course / Lab Manual / Long-form Instruction,other courses,generic course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math114-final-review.html,MATH 114 Final Review &amp; Exam,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math114-financial-math.html,MATH 114 Financial Math,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math114-foundations.html,MATH 114 Orientation &amp; Foundations,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math114-statistics.html,MATH 114 Statistics,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math114-test1.html,MATH 114 Test 1 Review,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math114-test2.html,MATH 114 Test 2 Review,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math114-test3.html,MATH 114 Test 3 Review,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
